H,V,L,F,fla,Tree,name,absPAR,absNIR,absTherm,totPs,netPs,totRf,totLE1,totLE2,totH
15,0,0.44,0.01,0.1,105,H15_V0_L0.44_F0.01_fla0.1,0.3943,0.0965,0.0837,0.042,0.0393,0.0026,4.6926,0.0331,0.3117
15,0,0.44,0.15,0.1,105,H15_V0_L0.44_F0.15_fla0.1,0.4365,0.1046,0.0801,0.0432,0.0406,0.0026,4.8823,0.0341,0.3511
15,0,0.44,0.25,0.1,105,H15_V0_L0.44_F0.25_fla0.1,0.4619,0.1091,0.0709,0.0439,0.0413,0.0026,4.9523,0.0346,0.3718
15,0,0.44,0.4,0.1,105,H15_V0_L0.44_F0.4_fla0.1,0.487,0.1137,0.0721,0.0446,0.0419,0.0026,5.0381,0.0351,0.3983
15,0,0.44,0.5,0.1,105,H15_V0_L0.44_F0.5_fla0.1,0.4927,0.1148,0.0721,0.0447,0.0421,0.0026,5.0558,0.0352,0.4043
15,0,0.44,0.65,0.1,105,H15_V0_L0.44_F0.65_fla0.1,0.5048,0.1173,0.0721,0.045,0.0423,0.0026,5.1132,0.0354,0.4162
15,0,0.44,0.75,0.1,105,H15_V0_L0.44_F0.75_fla0.1,0.5171,0.1198,0.0721,0.0453,0.0426,0.0026,5.1709,0.0356,0.4285
15,0,0.44,0.85,0.1,105,H15_V0_L0.44_F0.85_fla0.1,0.5294,0.1224,0.0721,0.0455,0.0429,0.0026,5.2295,0.0358,0.4407
15,0,0.44,0.95,0.1,105,H15_V0_L0.44_F0.95_fla0.1,0.5428,0.1251,0.0721,0.0458,0.0432,0.0026,5.2899,0.036,0.4542
15,0,0.44,1,0.1,105,H15_V0_L0.44_F1_fla0.1,0.5488,0.1264,0.0721,0.046,0.0433,0.0026,5.3132,0.0361,0.4605
15,0,0.44,1.05,0.1,105,H15_V0_L0.44_F1.05_fla0.1,0.554,0.1275,0.0721,0.0461,0.0434,0.0026,5.3312,0.0362,0.4659
15,0,0.44,1.15,0.1,105,H15_V0_L0.44_F1.15_fla0.1,0.5602,0.1287,0.0721,0.0462,0.0436,0.0026,5.349,0.0363,0.4725
15,0,0.44,1.25,0.1,105,H15_V0_L0.44_F1.25_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3079,0.0363,0.4632
15,0,0.44,1.35,0.1,105,H15_V0_L0.44_F1.35_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.311,0.0363,0.463
15,0,0.44,1.5,0.1,105,H15_V0_L0.44_F1.5_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3178,0.0363,0.4627
15,0,0.44,1.6,0.1,105,H15_V0_L0.44_F1.6_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3203,0.0363,0.4626
15,0,0.44,1.75,0.1,105,H15_V0_L0.44_F1.75_fla0.1,0.5612,0.1263,0.0579,0.0462,0.0436,0.0026,5.3216,0.0363,0.4626
15,0,0.44,1.85,0.1,105,H15_V0_L0.44_F1.85_fla0.1,0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.3575,0.0363,0.4712
15,0,0.44,1.99,0.1,105,H15_V0_L0.44_F1.99_fla0.1,0.5584,0.1302,0.0702,0.0462,0.0435,0.0026,5.3624,0.0363,0.471
15,0,1.521,0.01,0.1,351,H15_V0_L1.521_F0.01_fla0.1,0.3084,0.0806,0.0924,0.0383,0.0357,0.0026,2.72,0.1045,0.304
15,0,1.521,0.15,0.1,351,H15_V0_L1.521_F0.15_fla0.1,0.3161,0.0818,0.0929,0.0386,0.036,0.0026,2.7314,0.1053,0.3126
15,0,1.521,0.25,0.1,351,H15_V0_L1.521_F0.25_fla0.1,0.3233,0.0833,0.0929,0.039,0.0364,0.0026,2.7491,0.1062,0.3206
15,0,1.521,0.4,0.1,351,H15_V0_L1.521_F0.4_fla0.1,0.3295,0.0845,0.0929,0.0393,0.0367,0.0026,2.7714,0.107,0.327
15,0,1.521,0.5,0.1,351,H15_V0_L1.521_F0.5_fla0.1,0.3381,0.0863,0.0929,0.0397,0.037,0.0026,2.8249,0.108,0.335
15,0,1.521,0.65,0.1,351,H15_V0_L1.521_F0.65_fla0.1,0.3619,0.0912,0.0929,0.0406,0.0379,0.0026,2.9222,0.1104,0.3593
15,0,1.521,0.75,0.1,351,H15_V0_L1.521_F0.75_fla0.1,0.3879,0.0961,0.0901,0.0415,0.0389,0.0026,3.0152,0.1129,0.3842
15,0,1.521,0.85,0.1,351,H15_V0_L1.521_F0.85_fla0.1,0.4223,0.1021,0.0739,0.0426,0.04,0.0026,3.1261,0.1158,0.4088
15,0,1.521,0.95,0.1,351,H15_V0_L1.521_F0.95_fla0.1,0.4707,0.1117,0.0761,0.044,0.0414,0.0026,3.2671,0.1195,0.4618
15,0,1.521,1,0.1,351,H15_V0_L1.521_F1_fla0.1,0.49370000000000003,0.1161,0.0771,0.0446,0.042,0.0026,3.316,0.1211,0.4877
15,0,1.521,1.05,0.1,351,H15_V0_L1.521_F1.05_fla0.1,0.5159,0.1206,0.0777,0.0452,0.0425,0.0026,3.3497,0.1226,0.5131
15,0,1.521,1.15,0.1,351,H15_V0_L1.521_F1.15_fla0.1,0.547,0.127,0.0777,0.0459,0.0433,0.0026,3.3804,0.1245,0.5493
15,0,1.521,1.25,0.1,351,H15_V0_L1.521_F1.25_fla0.1,0.5562,0.1312,0.075,0.0461,0.0435,0.0026,3.3883,0.1251,0.5615
15,0,1.521,1.35,0.1,351,H15_V0_L1.521_F1.35_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4036,0.1252,0.5628
15,0,1.521,1.5,0.1,351,H15_V0_L1.521_F1.5_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4208,0.1252,0.562
15,0,1.521,1.6,0.1,351,H15_V0_L1.521_F1.6_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4258,0.1252,0.5618
15,0,1.521,1.75,0.1,351,H15_V0_L1.521_F1.75_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4275,0.1252,0.5617
15,0,1.521,1.85,0.1,351,H15_V0_L1.521_F1.85_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4277,0.1252,0.5617
15,0,1.521,1.99,0.1,351,H15_V0_L1.521_F1.99_fla0.1,0.5578,0.1317,0.0748,0.0461,0.0435,0.0026,3.4354,0.1252,0.5614
15,0,2.916,0.01,0.1,666,H15_V0_L2.916_F0.01_fla0.1,0.2232,0.0642,0.1045,0.0332,0.0306,0.0026,1.6821,0.1743,0.2571
15,0,2.916,0.15,0.1,666,H15_V0_L2.916_F0.15_fla0.1,0.225,0.0651,0.1037,0.0334,0.0308,0.0026,1.6908,0.175,0.259
15,0,2.916,0.25,0.1,666,H15_V0_L2.916_F0.25_fla0.1,0.227,0.0655,0.1037,0.0335,0.0309,0.0026,1.6996,0.1758,0.261
15,0,2.916,0.4,0.1,666,H15_V0_L2.916_F0.4_fla0.1,0.2315,0.066,0.1044,0.0338,0.0312,0.0026,1.7072,0.1773,0.2659
15,0,2.916,0.5,0.1,666,H15_V0_L2.916_F0.5_fla0.1,0.2326,0.0661,0.1045,0.0339,0.0313,0.0026,1.7215,0.1777,0.2666
15,0,2.916,0.65,0.1,666,H15_V0_L2.916_F0.65_fla0.1,0.2492,0.0693,0.1031,0.0349,0.0323,0.0026,1.8166,0.1827,0.2811
15,0,2.916,0.75,0.1,666,H15_V0_L2.916_F0.75_fla0.1,0.2761,0.0744,0.0997,0.0363,0.0337,0.0026,1.938,0.1901,0.3053
15,0,2.916,0.85,0.1,666,H15_V0_L2.916_F0.85_fla0.1,0.3206,0.0832,0.0883,0.0384,0.0358,0.0026,2.0943,0.2009,0.3441
15,0,2.916,0.95,0.1,666,H15_V0_L2.916_F0.95_fla0.1,0.3896,0.0968,0.0855,0.0412,0.0386,0.0026,2.2634,0.215,0.4172
15,0,2.916,1,0.1,666,H15_V0_L2.916_F1_fla0.1,0.4261,0.1045,0.0835,0.0425,0.0398,0.0026,2.3299,0.2214,0.4574
15,0,2.916,1.05,0.1,666,H15_V0_L2.916_F1.05_fla0.1,0.4653,0.1126,0.0795,0.0437,0.0411,0.0026,2.3801,0.2276,0.4998
15,0,2.916,1.15,0.1,666,H15_V0_L2.916_F1.15_fla0.1,0.523,0.1245,0.076,0.0453,0.0427,0.0026,2.4179,0.2358,0.5655
15,0,2.916,1.25,0.1,666,H15_V0_L2.916_F1.25_fla0.1,0.5504,0.1314,0.0733,0.046,0.0434,0.0026,2.4364,0.2392,0.5976
15,0,2.916,1.35,0.1,666,H15_V0_L2.916_F1.35_fla0.1,0.5557,0.1329,0.0728,0.0461,0.0435,0.0026,2.4506,0.2398,0.6036
15,0,2.916,1.5,0.1,666,H15_V0_L2.916_F1.5_fla0.1,0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4598,0.2397,0.6028
15,0,2.916,1.6,0.1,666,H15_V0_L2.916_F1.6_fla0.1,0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4664,0.2397,0.6025
15,0,2.916,1.75,0.1,666,H15_V0_L2.916_F1.75_fla0.1,0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4709,0.2397,0.6023
15,0,2.916,1.85,0.1,666,H15_V0_L2.916_F1.85_fla0.1,0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.472,0.2397,0.6023
15,0,2.916,1.99,0.1,666,H15_V0_L2.916_F1.99_fla0.1,0.5553,0.1331,0.0724,0.0461,0.0435,0.0026,2.4697,0.2397,0.6024
15,0,4.556,0.01,0.1,1013,H15_V0_L4.556_F0.01_fla0.1,0.1284,0.0455,0.1197,0.0244,0.0218,0.0026,1.6781,0.1498,0.154
15,0,4.556,0.15,0.1,1013,H15_V0_L4.556_F0.15_fla0.1,0.1422,0.0498,0.1025,0.0259,0.0233,0.0026,1.7665,0.1587,0.1576
15,0,4.556,0.25,0.1,1013,H15_V0_L4.556_F0.25_fla0.1,0.156,0.0518,0.1123,0.0274,0.0248,0.0026,1.8346,0.1674,0.1763
15,0,4.556,0.4,0.1,1013,H15_V0_L4.556_F0.4_fla0.1,0.172,0.0553,0.1118,0.029,0.0263,0.0026,1.9013,0.1766,0.1927
15,0,4.556,0.5,0.1,1013,H15_V0_L4.556_F0.5_fla0.1,0.1825,0.058,0.109,0.0299,0.0273,0.0026,1.9668,0.1821,0.2012
15,0,4.556,0.65,0.1,1013,H15_V0_L4.556_F0.65_fla0.1,0.2066,0.0635,0.0972,0.0318,0.0292,0.0026,2.1103,0.1933,0.217
15,0,4.556,0.75,0.1,1013,H15_V0_L4.556_F0.75_fla0.1,0.2367,0.0693,0.0968,0.0339,0.0312,0.0026,2.2794,0.2055,0.2448
15,0,4.556,0.85,0.1,1013,H15_V0_L4.556_F0.85_fla0.1,0.283,0.0787,0.0931,0.0365,0.0338,0.0026,2.5029,0.2209,0.2881
15,0,4.556,0.95,0.1,1013,H15_V0_L4.556_F0.95_fla0.1,0.355,0.0932,0.0852,0.0397,0.0371,0.0026,2.7797,0.24,0.357
15,0,4.556,1,0.1,1013,H15_V0_L4.556_F1_fla0.1,0.3968,0.1015,0.0808,0.0413,0.0387,0.0026,2.8937,0.2494,0.3992
15,0,4.556,1.05,0.1,1013,H15_V0_L4.556_F1.05_fla0.1,0.4397,0.1107,0.0782,0.0428,0.0402,0.0026,2.9847,0.2583,0.4457
15,0,4.556,1.15,0.1,1013,H15_V0_L4.556_F1.15_fla0.1,0.5095,0.1248,0.072,0.045,0.0423,0.0026,3.0529,0.2708,0.5225
15,0,4.556,1.25,0.1,1013,H15_V0_L4.556_F1.25_fla0.1,0.5454,0.1327,0.07,0.0459,0.0433,0.0026,3.0773,0.2763,0.5641
15,0,4.556,1.35,0.1,1013,H15_V0_L4.556_F1.35_fla0.1,0.553,0.1347,0.0694,0.0461,0.0434,0.0026,3.0996,0.2772,0.5724
15,0,4.556,1.5,0.1,1013,H15_V0_L4.556_F1.5_fla0.1,0.5527,0.135,0.0688,0.0461,0.0434,0.0026,3.1307,0.2772,0.5707
15,0,4.556,1.6,0.1,1013,H15_V0_L4.556_F1.6_fla0.1,0.5521,0.1355,0.0678,0.046,0.0434,0.0026,3.1468,0.2772,0.5696
15,0,4.556,1.75,0.1,1013,H15_V0_L4.556_F1.75_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.1637,0.2771,0.5687
15,0,4.556,1.85,0.1,1013,H15_V0_L4.556_F1.85_fla0.1,0.5519,0.1357,0.0674,0.046,0.0434,0.0026,3.1682,0.2771,0.5685
15,0,4.556,1.99,0.1,1013,H15_V0_L4.556_F1.99_fla0.1,0.5519,0.1357,0.0674,0.046,0.0434,0.0026,3.1704,0.2771,0.5684
15,0,5.402,0.01,0.1,1201,H15_V0_L5.402_F0.01_fla0.1,0.1187,0.0438,0.12,0.0233,0.0207,0.0026,1.6586,0.1423,0.144
15,0,5.402,0.15,0.1,1201,H15_V0_L5.402_F0.15_fla0.1,0.1346,0.0468,0.1194,0.0251,0.0225,0.0026,1.7509,0.1532,0.1582
15,0,5.402,0.25,0.1,1201,H15_V0_L5.402_F0.25_fla0.1,0.1448,0.0515,0.1043,0.0262,0.0236,0.0026,1.8074,0.1597,0.1617
15,0,5.402,0.4,0.1,1201,H15_V0_L5.402_F0.4_fla0.1,0.1652,0.0547,0.11,0.0283,0.0257,0.0026,1.9241,0.1722,0.1833
15,0,5.402,0.5,0.1,1201,H15_V0_L5.402_F0.5_fla0.1,0.1771,0.0572,0.1089,0.0294,0.0268,0.0026,1.9916,0.179,0.1941
15,0,5.402,0.65,0.1,1201,H15_V0_L5.402_F0.65_fla0.1,0.2042,0.0631,0.1039,0.0316,0.029,0.0026,2.1542,0.1922,0.2166
15,0,5.402,0.75,0.1,1201,H15_V0_L5.402_F0.75_fla0.1,0.2346,0.0696,0.0953,0.0337,0.0311,0.0026,2.3309,0.2046,0.2401
15,0,5.402,0.85,0.1,1201,H15_V0_L5.402_F0.85_fla0.1,0.2818,0.0791,0.092,0.0364,0.0338,0.0026,2.5583,0.2204,0.2844
15,0,5.402,0.95,0.1,1201,H15_V0_L5.402_F0.95_fla0.1,0.3541,0.0937,0.0842,0.0397,0.0371,0.0026,2.837,0.2399,0.3538
15,0,5.402,1,0.1,1201,H15_V0_L5.402_F1_fla0.1,0.3957,0.102,0.0797,0.0413,0.0386,0.0026,2.9545,0.2492,0.3954
15,0,5.402,1.05,0.1,1201,H15_V0_L5.402_F1.05_fla0.1,0.4388,0.1109,0.0776,0.0428,0.0402,0.0026,3.0544,0.2581,0.4416
15,0,5.402,1.15,0.1,1201,H15_V0_L5.402_F1.15_fla0.1,0.5088,0.1253,0.0711,0.0449,0.0423,0.0026,3.1319,0.2707,0.5184
15,0,5.402,1.25,0.1,1201,H15_V0_L5.402_F1.25_fla0.1,0.5449,0.1332,0.0691,0.0459,0.0433,0.0026,3.1614,0.2762,0.5599
15,0,5.402,1.35,0.1,1201,H15_V0_L5.402_F1.35_fla0.1,0.5524,0.1353,0.0683,0.0461,0.0434,0.0026,3.1827,0.2772,0.5682
15,0,5.402,1.5,0.1,1201,H15_V0_L5.402_F1.5_fla0.1,0.552,0.1356,0.0676,0.046,0.0434,0.0026,3.2009,0.2771,0.5671
15,0,5.402,1.6,0.1,1201,H15_V0_L5.402_F1.6_fla0.1,0.5519,0.1357,0.0675,0.046,0.0434,0.0026,3.2021,0.2771,0.567
